Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes,genes_list,num_genes
ko04020,,,0.0,1000000000.0,185,13,K15040;K02677;K02183;K07190;K09565;K08794;K04345;K04348;K04718;K06268;K05863;K05857;K05853,K15040;K02677;K02183;K07190;K09565;K08794;K04345;K04348;K04718;K06268;K05863;K05857;K05853,"['K15040', 'K02677', 'K02183', 'K07190', 'K09565', 'K08794', 'K04345', 'K04348', 'K04718', 'K06268', 'K05863', 'K05857', 'K05853']",13
ko04022,,,0.0,1000000000.0,121,13,K15040;K02183;K01539;K09565;K04371;K04348;K04513;K04630;K04514;K06268;K06269;K05863;K05853,K15040;K02183;K01539;K09565;K04371;K04348;K04513;K04630;K04514;K06268;K06269;K05863;K05853,"['K15040', 'K02183', 'K01539', 'K09565', 'K04371', 'K04348', 'K04513', 'K04630', 'K04514', 'K06268', 'K06269', 'K05863', 'K05853']",13
ko04024,,,0.0,1000000000.0,166,15,K02183;K00232;K01539;K01115;K07836;K07861;K04409;K04392;K04371;K04345;K04513;K04630;K04514;K06269;K05853,K02183;K00232;K01539;K01115;K07836;K07861;K04409;K04392;K04371;K04345;K04513;K04630;K04514;K06269;K05853,"['K02183', 'K00232', 'K01539', 'K01115', 'K07836', 'K07861', 'K04409', 'K04392', 'K04371', 'K04345', 'K04513', 'K04630', 'K04514', 'K06269', 'K05853']",15
ko04060,,,0.0,1000000000.0,273,0,,,[''],1
ko04061,,,0.0,1000000000.0,121,0,,,[''],1
ko04062,,,0.0,1000000000.0,162,15,K03083;K03099;K07827;K07836;K07861;K04393;K04409;K04392;K04371;K04345;K04513;K04630;K04514;K04536;K05747,K03083;K03099;K07827;K07836;K07861;K04393;K04409;K04392;K04371;K04345;K04513;K04630;K04514;K04536;K05747,"['K03083', 'K03099', 'K07827', 'K07836', 'K07861', 'K04393', 'K04409', 'K04392', 'K04371', 'K04345', 'K04513', 'K04630', 'K04514', 'K04536', 'K05747']",15
ko04064,,,0.0,1000000000.0,97,4,K10577;K03115;K03097;K04728,K10577;K03115;K03097;K04728,"['K10577', 'K03115', 'K03097', 'K04728']",4
ko04066,,,0.0,1000000000.0,76,16,K02677;K03259;K02991;K00850;K00844;K00927;K00134;K00161;K00162;K00016;K01623;K01689;K07203;K04371;K03868;K03872,K02677;K03259;K02991;K00850;K00844;K00927;K00134;K00161;K00162;K00016;K01623;K01689;K07203;K04371;K03868;K03872,"['K02677', 'K03259', 'K02991', 'K00850', 'K00844', 'K00927', 'K00134', 'K00161', 'K00162', 'K00016', 'K01623', 'K01689', 'K07203', 'K04371', 'K03868', 'K03872']",16
ko04068,,,0.0,1000000000.0,102,14,K13303;K11434;K11838;K03099;K01596;K07827;K07200;K08341;K04441;K04371;K04564;K04728;K03781;K06276,K13303;K11434;K11838;K03099;K01596;K07827;K07200;K08341;K04441;K04371;K04564;K04728;K03781;K06276,"['K13303', 'K11434', 'K11838', 'K03099', 'K01596', 'K07827', 'K07200', 'K08341', 'K04441', 'K04371', 'K04564', 'K04728', 'K03781', 'K06276']",14
ko04070,,,0.0,1000000000.0,55,21,K13711;K13024;K19786;K19801;K20279;K21797;K18083;K02677;K02183;K00888;K00921;K00889;K00901;K00914;K00915;K01092;K01106;K00981;K00999;K07756;K05857,K13711;K13024;K19786;K19801;K20279;K21797;K18083;K02677;K02183;K00888;K00921;K00889;K00901;K00914;K00915;K01092;K01106;K00981;K00999;K07756;K05857,"['K13711', 'K13024', 'K19786', 'K19801', 'K20279', 'K21797', 'K18083', 'K02677', 'K02183', 'K00888', 'K00921', 'K00889', 'K00901', 'K00914', 'K00915', 'K01092', 'K01106', 'K00981', 'K00999', 'K07756', 'K05857']",21
